,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_teq
1774,3831053,K00388.01,Kepler-1719 b,CONFIRMED,6.14955931,5.5694,333.7,3.26,5687.0,1.775,1287.0
1775,5092266,K03045.01,Kepler-1896 b,CONFIRMED,44.8702042,4.199,636.1,2.56,6122.0,0.996,536.0
1776,8751796,K03125.01,Kepler-1435 b,CONFIRMED,4.45342418,3.654,46.6,0.9,6256.0,1.269,1331.0
1777,9907129,K03127.01,Kepler-1436 b,CONFIRMED,9.705693,7.702,140.8,2.07,5808.0,1.385,1001.0
1778,9527334,K00049.01,Kepler-461 b,CONFIRMED,8.31377304,2.964,837.4,2.74,5900.0,0.951,886.0
1779,11361646,K00330.01,Kepler-524 b,CONFIRMED,7.97420583,5.3503,293.1,1.85,5973.0,1.081,974.0
1780,11361646,K00330.02,Kepler-524 c,CONFIRMED,1.88899036,3.486,59.0,0.83,5973.0,1.081,1574.0
1781,10285631,K00331.01,Kepler-525 b,CONFIRMED,18.68405716,6.9329,381.5,3.64,5548.0,1.614,832.0
1782,3964109,K00393.01,Kepler-544 b,CONFIRMED,21.41624083,7.081,314.5,2.09,6156.0,1.18,748.0
1783,3544595,K00069.01,Kepler-93 b,CONFIRMED,4.72674037,2.9267,273.1,1.56,5648.0,0.894,1028.0
1784,5695396,K00283.02,Kepler-131 c,CONFIRMED,25.5172744,4.735,66.8,0.83,5680.0,1.016,615.0
1785,9714550,K03048.01,Kepler-1695 b,CONFIRMED,4.73292061,1.746,151.6,0.97,5595.0,0.796,957.0
1786,6263593,K03049.01,Kepler-1418 b,CONFIRMED,22.4765952,3.437,481.4,1.21,4563.0,0.567,419.0
1787,10252275,K03130.01,Kepler-1907 c,CONFIRMED,14.8638496,2.705,220.6,2.9,5159.0,0.8,620.0
1788,10252275,K03130.02,Kepler-1907 b,CONFIRMED,5.65245733,2.062,121.0,1.05,5159.0,0.8,856.0
1789,11455181,K03131.01,Kepler-1437 b,CONFIRMED,10.9294815,5.893,196.9,1.21,5792.0,0.864,770.0
1790,10290666,K00332.01,Kepler-526 b,CONFIRMED,5.45849914,4.0448,255.9,1.91,5914.0,1.135,1099.0
1791,10337258,K00333.01,Kepler-527 b,CONFIRMED,13.28536452,6.283,377.6,4.03,6534.0,1.9,1157.0
1792,12314973,K00279.02,Kepler-450 c,CONFIRMED,15.4130812,6.6358,264.3,2.59,6206.0,1.573,944.0
1793,5450893,K02970.01,Kepler-1890 b,CONFIRMED,4.82051088,3.588,40.9,1.08,6046.0,1.396,1328.0
1794,8827575,K03052.02,Kepler-1992 b,CONFIRMED,15.6112238,3.873,113.5,0.91,5383.0,0.842,637.0
1795,2716801,K03053.01,Kepler-1419 b,CONFIRMED,42.5217006,5.723,685.6,2.45,5911.0,0.914,510.0
1796,7216284,K03056.01,Kepler-1420 b,CONFIRMED,6.69958851,2.831,253.7,1.24,5296.0,0.799,806.0
1797,6945786,K03136.01,Kepler-1909 b,CONFIRMED,2.39161966,1.906,189.2,0.93,4935.0,0.685,1031.0
1798,5978170,K03140.01,Kepler-1910 b,CONFIRMED,5.68879083,2.55,241.5,0.99,4234.0,0.639,645.0
1799,5440317,K03141.01,Kepler-1438 b,CONFIRMED,2.31941571,1.591,96.4,1.24,5624.0,1.248,1490.0
1800,10545066,K00337.01,Kepler-528 b,CONFIRMED,19.7830259,5.4898,373.2,2.1,5747.0,1.099,708.0
1801,10552611,K00338.01,Kepler-141 c,CONFIRMED,7.0106324,3.0688,327.3,1.5,4908.0,0.782,738.0
1802,10552611,K00338.02,Kepler-141 b,CONFIRMED,3.10762684,2.361,77.2,0.73,4908.0,0.782,968.0
1803,10587105,K00339.01,Kepler-529 b,CONFIRMED,1.980356674,2.4743,271.9,2.1,6078.0,1.189,1662.0
1804,10587105,K00339.02,Kepler-529 c,CONFIRMED,12.8344771,3.846,281.0,2.55,6078.0,1.189,891.0
1805,11090556,K02977.01,Kepler-1398 b,CONFIRMED,2.7881793,3.397,55.8,1.02,5758.0,1.385,1510.0
1806,11090556,K02977.02,Kepler-1398 c,CONFIRMED,4.13827684,3.449,63.8,1.13,5758.0,1.385,1324.0
1807,3234843,K03057.01,Kepler-405 c,CONFIRMED,29.72722,3.45,1010.2,3.02,5815.0,0.877,557.0
1808,6021275,K00284.01,Kepler-132 d,CONFIRMED,18.01019956,3.516,177.7,1.93,5931.0,1.101,758.0
1809,3234843,K03057.02,Kepler-405 b,CONFIRMED,10.61368712,3.498,559.8,2.06,5815.0,0.877,785.0
1810,5688790,K03144.01,Kepler-1439 b,CONFIRMED,8.07394097,2.455,1056.0,1.59,3675.0,0.398,420.0
1811,1717722,K03145.01,Kepler-1977 b,CONFIRMED,4.53702121,1.813,504.4,1.66,4805.0,0.688,798.0
1812,10908248,K03146.01,Kepler-1440 b,CONFIRMED,39.859505,7.987,155.5,1.62,5675.0,1.292,597.0
1813,10878263,K00341.01,Kepler-414 c,CONFIRMED,7.170710381,2.9225,863.3,2.73,5497.0,0.941,890.0
1814,10878263,K00341.02,Kepler-414 b,CONFIRMED,4.699652821,2.553,351.4,1.74,5497.0,0.941,1024.0
1815,10982872,K00343.01,Kepler-142 c,CONFIRMED,4.761705895,3.3061,497.1,2.75,5794.0,1.225,1201.0
1816,10982872,K00343.02,Kepler-142 b,CONFIRMED,2.024143568,2.5273,239.4,1.94,5794.0,1.225,1597.0
1817,4141376,K00280.01,Kepler-1655 b,CONFIRMED,11.87290814,2.5342,332.7,2.25,6147.0,1.04,863.0
1818,9468551,K02980.01,Kepler-1399 b,CONFIRMED,1.638652525,1.952,166.9,1.29,6119.0,0.981,1610.0
1819,9076971,K02981.01,Kepler-1400 b,CONFIRMED,9.06687613,3.381,367.2,1.9,5142.0,0.789,725.0
1820,8360640,K02982.01,Kepler-1891 b,CONFIRMED,4.0223109,0.853,227.8,1.37,5516.0,0.827,1017.0
1821,11019987,K03060.01,Kepler-1421 b,CONFIRMED,6.9131732,4.73,39.1,0.91,6296.0,1.444,1209.0
1822,4857058,K03061.01,Kepler-1983 b,CONFIRMED,7.32851947,1.211,277.8,2.33,5135.0,0.874,807.0
1823,10924562,K03063.01,Kepler-1422 b,CONFIRMED,18.6052046,6.829,242.5,1.94,6572.0,1.238,833.0
1824,7534267,K03147.01,Kepler-1441 b,CONFIRMED,39.4420781,7.029,172.4,2.51,5430.0,1.902,682.0
1825,9592705,K00288.01,Kepler-1714 b,CONFIRMED,10.27532513,6.3093,209.7,3.04,6150.0,2.086,1211.0
1826,10386922,K00289.01,Kepler-511 c,CONFIRMED,26.62941953,7.8709,492.8,3.13,5866.0,1.417,742.0
